source,target,sentence,document,relationship_type
"the 
Organization","the Organization”  
 
 
IV","Any unreasonable failure of a staff member to perform efficiently, competently and 
with the best interests of the Organization in mind , all assigned tasks, duties and 
management responsibilities in connection with Unit ed Nations programmes and its 
operations” 
 
Waste of resources  
 
“(i) Any unreasonable failure to ensure that the mo netary or other resources of the 
Organization are used solely, efficiently and effec tively for the purposes of the 
Organization or for its benefit; 
 
(ii) Any unreasonable act or failure to act, which,  as a direct result of a failure to 
exercise due care, causes loss to the Organization”  
 
 
IV.   METHODOLOGY 
 
5.",63.pdf,contextual
Liberia,IAD1,"Prior to travelling to Liberia to investigate t he allegations against Officer 1, 
ID/OIOS reviewed the IAD1/OIOS audit report.",63.pdf,contextual
UNMIL’s Spec ial Investigation Unit,SIU,"The Auditors noted 
that there had been an investigation by UNMIL’s Spec ial Investigation Unit (SIU) into 
allegations that UNMIL fuel was being sold by bowser  drivers to third parties and that 
the investigation had concluded that there was cred ible evidence against some of the 
bowser drivers and their supervisor.",63.pdf,contextual
SIU,UNMIL,"The Auditors noted 
that there had been an investigation by UNMIL’s Spec ial Investigation Unit (SIU) into 
allegations that UNMIL fuel was being sold by bowser  drivers to third parties and that 
the investigation had concluded that there was cred ible evidence against some of the 
bowser drivers and their supervisor.",63.pdf,contextual
UNMIL,Monrovia,"Upon receipt of information on 13 March 2004 tha t UNMIL bowser drivers were 
selling UNMIL fuel to local vendors in Monrovia and other parts of Liberia, the SIU 
initiated an investigation into the allegations.",63.pdf,contextual
Monrovia,Liberia,"Upon receipt of information on 13 March 2004 tha t UNMIL bowser drivers were 
selling UNMIL fuel to local vendors in Monrovia and other parts of Liberia, the SIU 
initiated an investigation into the allegations.",63.pdf,contextual
Liberia,SIU,"Upon receipt of information on 13 March 2004 tha t UNMIL bowser drivers were 
selling UNMIL fuel to local vendors in Monrovia and other parts of Liberia, the SIU 
initiated an investigation into the allegations.",63.pdf,contextual
the United Nations,OIOS,"Officer 1 is no longer with the United Nations and therefore no longer falls under 
the authority of OIOS. 
 
  ",63.pdf,contextual
UNMIL,ID/OIOS Case 0430/04,"UNMIL has acted on the recommendations of the IA D/OIOS Auditors and, as 
demonstrated by the results of the investigation in to ID/OIOS Case 0430/04, the situation 
regarding fuel management in the mission is much im proved. 
 
 
",63.pdf,contextual
ST,STRICTLY,"This report is protected under the provisions of 
ST/SGB/273, paragraph 18, of 7 September 1994"" 
 
 
 
 
 
 
 
 
 
OFFICE OF INTERNAL OVERSIGHT SERVICES 
INVESTIGATIONS DIVISION 
 
 
 
 
REDACTED  
REPORT OF INVESTIGATION  
 
 
ID CASE NO. 0575/03  
 
 
 
 
 
 
 
 
27 April 2005 
 
 
 
 STRICTLY CONFIDENTIAL  
  Investigation into the allegation that a UNON/ITS s taff member obtained money from 
UNPOS on the promise that s/he would facilitate the  installation of the New York tie-line 
connection to the RSG residence. 
",73.pdf,contextual
STRICTLY,New York,"This report is protected under the provisions of 
ST/SGB/273, paragraph 18, of 7 September 1994"" 
 
 
 
 
 
 
 
 
 
OFFICE OF INTERNAL OVERSIGHT SERVICES 
INVESTIGATIONS DIVISION 
 
 
 
 
REDACTED  
REPORT OF INVESTIGATION  
 
 
ID CASE NO. 0575/03  
 
 
 
 
 
 
 
 
27 April 2005 
 
 
 
 STRICTLY CONFIDENTIAL  
  Investigation into the allegation that a UNON/ITS s taff member obtained money from 
UNPOS on the promise that s/he would facilitate the  installation of the New York tie-line 
connection to the RSG residence. 
",73.pdf,contextual
the Information Technology Service,the United Nat ions Office,"ITS Staff Member, a staff member in 
the Information Technology Service of the United Nat ions Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Politic al Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary Ge neral.",73.pdf,contextual
the United Nat ions Office,Nairobi,"ITS Staff Member, a staff member in 
the Information Technology Service of the United Nat ions Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Politic al Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary Ge neral.",73.pdf,contextual
Nairobi,New York,"ITS Staff Member, a staff member in 
the Information Technology Service of the United Nat ions Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Politic al Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary Ge neral.",73.pdf,contextual
New York,the United Nations Politic al Office,"ITS Staff Member, a staff member in 
the Information Technology Service of the United Nat ions Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Politic al Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary Ge neral.",73.pdf,contextual
the United Nations Politic al Office,Ge,"ITS Staff Member, a staff member in 
the Information Technology Service of the United Nat ions Office in Nairobi (UNON/ITS), 
solicited and obtained Ksh 22,250 (US$294.70) with the promise to extend a New York tie-line 
satellite connection from the United Nations Politic al Office for Somalia (UNPOS) to the 
residence of the Representative of the Secretary Ge neral.",73.pdf,contextual
UNON,UNDP,"ID/OIOS also interviewed witnesses 
in UNON, UNPOS and UNDP offices in Nairobi.  
 
 
",73.pdf,contextual
UNDP,Nairobi,"ID/OIOS also interviewed witnesses 
in UNON, UNPOS and UNDP offices in Nairobi.  
 
 
",73.pdf,contextual
"BACKGROUND INFORMATION 
 
4",the Department of P olitical Affairs,"BACKGROUND INFORMATION 
 
4.  UNPOS is a mission set up by the Department of P olitical Affairs (DPA) and is headed 
by a Representative of the Secretary General (RSG).  ",73.pdf,contextual
the Department of P olitical Affairs,DPA,"BACKGROUND INFORMATION 
 
4.  UNPOS is a mission set up by the Department of P olitical Affairs (DPA) and is headed 
by a Representative of the Secretary General (RSG).  ",73.pdf,contextual
UNON,Gigiri,"UNPOS is based at the UNON compound 
in Gigiri, Kenya and receives common services suppo rt from UNON.  
 
 
",73.pdf,contextual
Gigiri,Kenya,"UNPOS is based at the UNON compound 
in Gigiri, Kenya and receives common services suppo rt from UNON.  
 
 
",73.pdf,contextual
Kenya,UNON,"UNPOS is based at the UNON compound 
in Gigiri, Kenya and receives common services suppo rt from UNON.  
 
 
",73.pdf,contextual
the United Nations ST/SGB/2003/7,Regul,"By personally undertaking to extend the satellite l ink to the RSG residence, the 
UNON/ITS Staff Member acted contrary to his/her obli gations under The Financial Regulations 
and Rules of the United Nations ST/SGB/2003/7, Regul ation 5.12.  
 
 
",73.pdf,contextual
UNON,"the 
  UNON/ITS Staff","It is recommended that UNON takes appropriate action  against the 
  UNON/ITS Staff Member.",73.pdf,contextual
UNON,Gen,"It is recommended that UNON administration shares t he findings of this 
report with the Representative of the Secretary Gen eral, UNPOS.  ",73.pdf,contextual
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the addition of a single source c ontract one month after the 
award of a contract for the supply of two new conta iners and the dismantling, 
transport and re-construction of a further seven co ntainers at Pristina Airport  
(Case 0281/04) 
 
 
I. INTRODUCTION 
 
1.",9.pdf,contextual
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the addition of a single source c ontract one month after the 
award of a contract for the supply of two new conta iners and the dismantling, 
transport and re-construction of a further seven co ntainers at Pristina Airport  
(Case 0281/04) 
 
 
I. INTRODUCTION 
 
1.",9.pdf,contextual
Kosovo,"Investigation Task Force 
 
 
Irregularities","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the addition of a single source c ontract one month after the 
award of a contract for the supply of two new conta iners and the dismantling, 
transport and re-construction of a further seven co ntainers at Pristina Airport  
(Case 0281/04) 
 
 
I. INTRODUCTION 
 
1.",9.pdf,contextual
"Investigation Task Force 
 
 
Irregularities","I. INTRODUCTION 
 
","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the addition of a single source c ontract one month after the 
award of a contract for the supply of two new conta iners and the dismantling, 
transport and re-construction of a further seven co ntainers at Pristina Airport  
(Case 0281/04) 
 
 
I. INTRODUCTION 
 
1.",9.pdf,contextual
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",9.pdf,contextual
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",9.pdf,contextual
Council,UNMIK Regulation No 1/,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",9.pdf,contextual
UNMIK,Ko,"UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",9.pdf,contextual
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",9.pdf,contextual
KFOR,"Air 
Movements","This appears to 
have resulted from a direct request from KFOR signe d by the KFOR Official of Air 
Movements, dated 3 September 2002, which is attache d to the justification for the 
single source contract.  
 
",9.pdf,contextual
justi fication memorandum,ITF,"The tender file does not contain either a justi fication memorandum or financial 
approval documents for the main contract and those documents have not been 
locate by the ITF. 
 
",9.pdf,contextual
UNMIK,Pillar,"It is recommended that UNMIK refer this matter to the D/SRSG of Pillar IV for any 
action deemed appropriate with regard to the manage ment of contract files. 
",9.pdf,contextual
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
 
Investigation into allegations of irregularities in  two tender processes for the 
supply of cleaning machines to Pristina Airport.",8.pdf,contextual
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
 
Investigation into allegations of irregularities in  two tender processes for the 
supply of cleaning machines to Pristina Airport.",8.pdf,contextual
Kosovo,"Investigation Task Force 
 
 
 
Investigation","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
 
Investigation into allegations of irregularities in  two tender processes for the 
supply of cleaning machines to Pristina Airport.",8.pdf,contextual
Kosovo,UN,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
",8.pdf,contextual
UN,Kosovo Consolidated Budget Funds,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
",8.pdf,contextual
the UNMIK Kosovo Interim Administration’s,Tender Documents,"– “If a consultant or any principal, officer or e mployee of such 
consultant has participated or will participate in any manner in the preparation of 
 2 
the UNMIK Kosovo Interim Administration’s Tendering  for a contract, including 
but not limited to preparations of specifications o r any other Tender Documents,  
 
no such consultant nor any principal officer or emp loyee of such consultant, no 
“related person” nor any “illegal payer” may tender  for or sponsor or participate in 
the Tendering for such contract.” 
",8.pdf,contextual
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",8.pdf,contextual
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,contextual
Council,UNMIK Regulation No 1/,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,contextual
UNMIK,Ko,"UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",8.pdf,contextual
the Civil Administration,UNMIK,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",8.pdf,contextual
United Nations,Airport Engineer 1,"Engineering expertise was provided by a series of e ngineers seconded from the 
armed forces of a United Nations member state, spec ifically Airport Engineer 1, 
Airport Engineer 2 and Airport Engineer 3 and later  by the Consultant from the 
Consulting Firm. 
 
",8.pdf,contextual
Airport Engineer 1,Consulting Firm,"Engineering expertise was provided by a series of e ngineers seconded from the 
armed forces of a United Nations member state, spec ifically Airport Engineer 1, 
Airport Engineer 2 and Airport Engineer 3 and later  by the Consultant from the 
Consulting Firm. 
 
",8.pdf,contextual
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",8.pdf,contextual
Procure,Pristina Air,"A bid evaluation report drawn up by the Procure ment Officer, dated 18 April 
2003, identifies that bids were opened in an evalua tion process to select a 
company to supply cleaning machines to Pristina Air port on 18 April 2003. 
",8.pdf,contextual
Engineer,"the Evaluation 
Committee","The person responsible for drawing up the speci fications for the both tenders was 
the Engineer at the Pristina Airport, who confirmed  in interview that he/she had 
been asked to draw up the specifications by the Mem ber of the Evaluation 
Committee.",8.pdf,contextual
"the Evaluation 
Committee",ITF,"The Membe r of the Evaluation 
Committee confirmed to the ITF that he/she handed t he signed pages to the 
Engineer at the Pristina Airport to assist in the p reparation of the technical 
specifications for the cleaning machines.  
 
",8.pdf,contextual
the Evaluation Committee,Articles 15.1,"The Engineer at the Pristina Airport and the Me mber of the Evaluation Committee 
were asked in interview whether they were aware of the provision of Article 15 of 
Financial Administration Instruction No. 2/1999, an d in particular Articles 15.1 and 
15.4.  ",8.pdf,contextual
Vendor 2’s,Vendor 2,"An examination of the technical evaluation repo rt and Vendor 2’s bid 
documentation suggests that the specification produ ced by Vendor 2 was very 
similar to the specification requirement, although there is no evidence that it was 
provided with the technical specifications in advan ce.",8.pdf,contextual
Vendor 1,United Nations,"An Internet search indicates Vendor 1 is the se cond largest producer of industrial 
cleaning machines in one United Nations member stat e being founded in 1966.",8.pdf,contextual
ITF,UNMIK,"Based on the above information, the ITF recomm ends that UNMIK refer this 
report to the D/SRSG Pillar IV for any action deeme d appropriate with regard to 
ensuring that staff involved in preparing tenders d",8.pdf,contextual
UNMIK,the D/SRSG Pillar IV,"Based on the above information, the ITF recomm ends that UNMIK refer this 
report to the D/SRSG Pillar IV for any action deeme d appropriate with regard to 
ensuring that staff involved in preparing tenders d",8.pdf,contextual
STRICTLY,DIGITAL,"28 February 2005 
 
 
 
 STRICTLY CONFIDENTIAL  
 `   1 INVESTIGATION INTO ALLEGED IRREGULARITIES IN THE PR OCUREMENT OF 
PERSONAL DIGITAL ASSISTANTS  (Case 0374/04)  
 
 
I.     BACKGROUND 
 
1.",16.pdf,contextual
The Investigations Division of the Office of Int ernal Oversight Services,UNMIK’s Directorate of Rural Affairs,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,contextual
UNMIK’s Directorate of Rural Affairs,DRA,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,contextual
DRA,Kosovo,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,contextual
PRIO Unit’s,UN,"Based on the issues rais ed in the complaint and subsequently in the 
PRIO Unit’s preliminary report, ID/OIOS investigate d the entire tender process to determine 
whether any violations of UN rules had occurred. 
 
",16.pdf,contextual
The Directorate of Rural Affairs,DRA,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,contextual
DRA,UNMIK Civil Administration,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,contextual
UNMIK Civil Administration,Department of Agriculture,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,contextual
DRA,Veterinary Services &,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,contextual
Veterinary Services &,Border Control,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,contextual
Border Control,Pu blic Forests,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,contextual
DRA,Security Council Resolution 1244,"The DRA remains a reserved 
area under Security Council Resolution 1244 and the  staff are United Nations staff members 
subject to the UN Rules and Regulations.",16.pdf,contextual
Security Council Resolution 1244,United Nations,"The DRA remains a reserved 
area under Security Council Resolution 1244 and the  staff are United Nations staff members 
subject to the UN Rules and Regulations.",16.pdf,contextual
United Nations,the UN Rules and Regulations,"The DRA remains a reserved 
area under Security Council Resolution 1244 and the  staff are United Nations staff members 
subject to the UN Rules and Regulations.",16.pdf,contextual
DRA,DRA,"Also, the DRA undertakes its own procurement for all 
of the divisions within the DRA. 
 
 
II.     ",16.pdf,contextual
ID/OIOS Investigators,al l,"ID/OIOS Investigators conducted interviews of al l witnesses relevant to this matter, 
including detailed interviews of the alleged subjec ts; collected documents and records 
concerning the procurement, including all the bids submitted and the bid evaluation documents: 
and analyzed the evidence.    
 
",16.pdf,contextual
the European Agency,EAR,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,contextual
EAR,Kosovo,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,contextual
Kosovo,SPUVESEK,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,contextual
SPUVESEK,Identification & Registration,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,contextual
Identification & Registration,Kosovo,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,contextual
EAR,SPUVESEK,"In late 2002, the EAR consultant prepared the te chnical specifications for the PDAs based 
on the proposal in SPUVESEK’s inception report of A ugust 2002.",16.pdf,contextual
DRA,DRA,"As required, the bids were opened and 
certified by members of a bid-opening panel consist ing of DRA logistics officer 1, a DRA 
procurement officer, DRA employee 1 and a DRA finan ce officer.  ",16.pdf,contextual
DRA,DRA,"As required, the bids were opened and 
certified by members of a bid-opening panel consist ing of DRA logistics officer 1, a DRA 
procurement officer, DRA employee 1 and a DRA finan ce officer.  ",16.pdf,contextual
DRA,DRA,"As required, the bids were opened and 
certified by members of a bid-opening panel consist ing of DRA logistics officer 1, a DRA 
procurement officer, DRA employee 1 and a DRA finan ce officer.  ",16.pdf,contextual
PRIO,EAR,"In the preliminary PRIO report, the price estima tes as stated in the EAR consultant’s 
inception report showed five different PDA models w ith integrated scanner capabilities.",16.pdf,contextual
EAR,PDA,"In the preliminary PRIO report, the price estima tes as stated in the EAR consultant’s 
inception report showed five different PDA models w ith integrated scanner capabilities.",16.pdf,contextual
DRA,Vendor 2,"ID/OIOS 
Investigators reviewed all eight bids submitted and  noted that DRA logistics officer 1 had 
disqualified two, Vendor 2 and Vendor 3, because ne ither the Vendor 2 nor the Vendor 3 bid was 
substantially responsive in that the total price of  the product offered exceeded the price ceiling of 
€135,000.",16.pdf,contextual
Vendor 2,Vendor 3,"ID/OIOS 
Investigators reviewed all eight bids submitted and  noted that DRA logistics officer 1 had 
disqualified two, Vendor 2 and Vendor 3, because ne ither the Vendor 2 nor the Vendor 3 bid was 
substantially responsive in that the total price of  the product offered exceeded the price ceiling of 
€135,000.",16.pdf,contextual
DRA,Vendor 2,"During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,contextual
Vendor 2,Kosovo,"During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,contextual
Kosovo,Vendor 3’s,"During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,contextual
Ven,Vendor 4,"In order to find out why the lowest bidder, Ven dor 1, was still not selected, ID/OIOS 
spoke separately with two members of the bid evalua tion panel who explained the evaluation 
process and why the panel recommended the selected bidder, Vendor 4.",16.pdf,contextual
DRA,DRA,"In terms of the priority selection criteria of the evaluation panel, DRA logistics officer 2 
stated that the DRA had advised them to monitor not  only the technical specifications but to 
focus particularly on Section VII of the Bidding Do cuments “Obligatory Requirements to be 
fulfilled by the bidders.”",16.pdf,contextual
DRA,Kosovo,"DRA logistics officer 2  highlighted the criteria of after-warranty 
repair service located within Kosovo and repair or replacement within five working days 
(based on the existing regulations in Kosovo as to notification, registration and recording of 
information concerning movement of animals within f",16.pdf,contextual
Kosovo,Kosovo,"DRA logistics officer 2  highlighted the criteria of after-warranty 
repair service located within Kosovo and repair or replacement within five working days 
(based on the existing regulations in Kosovo as to notification, registration and recording of 
information concerning movement of animals within f",16.pdf,contextual
DRA,Vendor 4,"DRA logistics officer 2  pointed out that Vendor 4, Vendor 5 and 
Vendor 6 had offered virtually the same technical d evice.",16.pdf,contextual
Gotive H41 IB,Vendor 4,"He/she found out that the 
“Gotive H41 IB” model offered by Vendor 6 did not s ubstantially differ from the 
“Gotive H41” model offered by Vendor 4 and Vendor 5 .",16.pdf,contextual
DRA,the “Gotive H41,"DRA logistics officer 2  
stated that the “Gotive H41” model complied with al l the requirements laid out in 
the technical specifications and pointed out that t his device was very well protected 
against environmental impact, notably in the field.    
  
 
",16.pdf,contextual
the “Gotive H41,al l,"DRA logistics officer 2  
stated that the “Gotive H41” model complied with al l the requirements laid out in 
the technical specifications and pointed out that t his device was very well protected 
against environmental impact, notably in the field.    
  
 
",16.pdf,contextual
DRA,PDA,"According to DRA logistics officer 2 , the PDA model offered by Vendor 1 was not a 
rugged PDA; it did not comply with the IP54 protect ion standards essential for outdoor use.  
",16.pdf,contextual
PDA,Vendor 1,"According to DRA logistics officer 2 , the PDA model offered by Vendor 1 was not a 
rugged PDA; it did not comply with the IP54 protect ion standards essential for outdoor use.  
",16.pdf,contextual
Howeve,KVS,"Howeve r, the product did not comply with the 
technical specifications and hence would be inappro priate for use by KVS veterinarians.",16.pdf,contextual
DRA,Section VI “Technical Spec,"However, the complainant contended that the PDA mod el offered by Vendor 1 did match 
the technical specifications sought by the DRA and referred ID/OIOS to “Vendor 1’s” 
handwritten responses to Section VI “Technical Spec ifications” of the Bidding documents.",16.pdf,contextual
Section VI “Technical Spec,Bidding,"However, the complainant contended that the PDA mod el offered by Vendor 1 did match 
the technical specifications sought by the DRA and referred ID/OIOS to “Vendor 1’s” 
handwritten responses to Section VI “Technical Spec ifications” of the Bidding documents.",16.pdf,contextual
Section VI,DRA,"Investigators noted that the annex 
submitted by the complainant is different from the typed page of the Vendor 1 response to 
Section VI found in all three sets of bid documents  submitted to the DRA at the bid opening.  
",16.pdf,contextual
DRA,DRA,"ID/OIOS learned that Vendor 1 did not retain a copy of the completed bid documents 
submitted to the DRA as they had only prepared thre e sets, all of which were submitted to the 
DRA on 19 May.",16.pdf,contextual
PDA,Vendor 1,"ID/OIOS verified that the PDA model offer ed by Vendor 1 (EIA PD264-XB) does not 
 `   4 contain the IP54 feature that would ensure environm ental sealing against dust and rain.",16.pdf,contextual
Vendor 1,EIA,"ID/OIOS verified that the PDA model offer ed by Vendor 1 (EIA PD264-XB) does not 
 `   4 contain the IP54 feature that would ensure environm ental sealing against dust and rain.",16.pdf,contextual
Vendor 4,PDA,"ID/OIOS also addressed the issue of why Vendor 4 was selected even though two other 
bidders offered the same model PDA at a lower price .",16.pdf,contextual
Vendor 5,Kosovo,"In addition, neither Vendor 5 nor Vendor 6  offered servicing and repair of the PDAs in Kosovo  
and the required five days turnaround time to repla ce a faulty device.  ",16.pdf,contextual
Vendor 4,DRA,"In the end, the evaluation panel members 
selected Vendor 4 over the two other short-listed b idders because that bid included training as 
part of the total package thereby offering the best  value within the stated price ceiling for 
DRA-KVS.       
 
 
",16.pdf,contextual
DRA,Vendor,"ID/OIOS finds that the DRA finally procured P DAs from Vendor 4 based on the fact 
that the product offered was in compliance with the  technical specifications and met the 
requirements of the bid specifications.  ",16.pdf,contextual
