source,target,sentence,sentiment,source_file
UN Headquarters,UNHQ,"3. **UNDP and UN Headquarters (UNHQ)**: The UNDP is responsible for providing administrative services and must communicate and report financial activities back to UNHQ in New York.

",NEGATIVE,21.pdf
UNHQ,UNDP,"3. **UNDP and UN Headquarters (UNHQ)**: The UNDP is responsible for providing administrative services and must communicate and report financial activities back to UNHQ in New York.

",NEGATIVE,21.pdf
UNDP,the Slovakian Criminal Code,"4. **UNDP and Slovakia**: The fraud case involves the UNDP office in Slovakia, which is subject to the laws and regulations of the Slovakian Criminal Code, showing interaction between international organizations and national legal frameworks.

",NEUTRAL,21.pdf
the Slovakian Criminal Code,Slovakia,"4. **UNDP and Slovakia**: The fraud case involves the UNDP office in Slovakia, which is subject to the laws and regulations of the Slovakian Criminal Code, showing interaction between international organizations and national legal frameworks.

",NEUTRAL,21.pdf
UNDP,UNODC,"5. **UN Staff Regulations and UN Organizations**: The adherence to staff regulations outlined not only affects individuals but also serves to uphold the integrity of all affiliated organizations, including UNODC, UNDP, and UNON.

",POSITIVE,21.pdf
UNODC,UN,"5. **UN Staff Regulations and UN Organizations**: The adherence to staff regulations outlined not only affects individuals but also serves to uphold the integrity of all affiliated organizations, including UNODC, UNDP, and UNON.

",POSITIVE,21.pdf
UN,UNON,"5. **UN Staff Regulations and UN Organizations**: The adherence to staff regulations outlined not only affects individuals but also serves to uphold the integrity of all affiliated organizations, including UNODC, UNDP, and UNON.

",POSITIVE,21.pdf
UNDP,UN,"By analyzing these relationships, one can see how fraud at the UNDP Bratislava affected interconnected UN agencies and highlighted the need for stronger oversight and compliance mechanisms within the organization.",POSITIVE,21.pdf
UNMUK,The Investigation Task Force,"**Allegations of Procurement Violations**: The Investigation Task Force (ITF) received information regarding potential violations of UNMUK's procurement procedures related to insurance for Pristina Airport starting April 1, 2004.

",NEGATIVE,35.pdf
the Icelandic Civil Aviation Administration,UNMIK,"2. **Agreement Between UNMIK and ICAA**: An agreement was established between UNMIK and the Icelandic Civil Aviation Administration (ICAA) to assist in obtaining insurance coverage for Pristina Airport.

",POSITIVE,35.pdf
UNMIK,ICAA,"**Lack of Information on New Policy**: Staff at Pristina Airport were uncertain if the ICAA had to comply with UNMIK procurement protocols due to a lack of detailed documentation regarding the new insurance policy.

",NEGATIVE,35.pdf
The Kosovo Trust Agency,UNMUK,"2. **UNMUK and KTA**: The Kosovo Trust Agency (KTA) is involved in the oversight and auditing of procurement processes, indicating a relationship where KTA monitors compliance with procurement rules set by UNMUK.

",POSITIVE,35.pdf
UNMUK,KTA,"2. **UNMUK and KTA**: The Kosovo Trust Agency (KTA) is involved in the oversight and auditing of procurement processes, indicating a relationship where KTA monitors compliance with procurement rules set by UNMUK.

",POSITIVE,35.pdf
United Nations,The Investigation Task Force,"4. **ITF and Other Organizations**: The Investigation Task Force (ITF) is operating under the United Nations framework to investigate these allegations, linking it to UN entities such as DPKO (Department of Peacekeeping Operations).

",NEGATIVE,35.pdf
The Investigation Task Force,DPKO,"4. **ITF and Other Organizations**: The Investigation Task Force (ITF) is operating under the United Nations framework to investigate these allegations, linking it to UN entities such as DPKO (Department of Peacekeeping Operations).

",NEGATIVE,35.pdf
DPKO,Department of Peacekeeping Operations,"4. **ITF and Other Organizations**: The Investigation Task Force (ITF) is operating under the United Nations framework to investigate these allegations, linking it to UN entities such as DPKO (Department of Peacekeeping Operations).

",NEGATIVE,35.pdf
Department of Peacekeeping Operations,UN,"4. **ITF and Other Organizations**: The Investigation Task Force (ITF) is operating under the United Nations framework to investigate these allegations, linking it to UN entities such as DPKO (Department of Peacekeeping Operations).

",NEGATIVE,35.pdf
ICAA,UNMIK,"5. **ITF Findings and ICAA**: The ITF's findings concluded that the ICAA was not bound by UNMIK procurement rules, emphasizing the independence of the agreement between the ICAA and UNMIK.

",NEGATIVE,35.pdf
UNMIK,ITF,"5. **ITF Findings and ICAA**: The ITF's findings concluded that the ICAA was not bound by UNMIK procurement rules, emphasizing the independence of the agreement between the ICAA and UNMIK.

",NEGATIVE,35.pdf
the National Security Agency,NSA,"**NSA Report**: The article discusses a 2009 report from the National Security Agency (NSA) that involved intelligence intercepts concerning the Japanese response to U.S. cherry imports.

",NEGATIVE,108.pdf
the Department of Agriculture,NSA,"**General Relationship**:
   - The NSA serves as an intelligence gatherer that affects diplomatic relations between the Japanese government (specifically MAFF) and the U.S. government (led by the Department of Agriculture) regarding trade issues. 

",POSITIVE,108.pdf
UNMIK’s Civil Administration,the Kosovo Force,"5. **Operational Information**: Details about Pristina International Airport's administration, which was initially managed under UNMIK’s Civil Administration and involved cooperation with the Kosovo Force (KFOR). 

",POSITIVE,31.pdf
United Nations Interim Administration Mission,UNMIK,"**Structural Changes**: It notes changes in management and governance responsibilities, particularly the shift within UNMIK regarding the airport's administration following the departure of key officials.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**:
  - Established the **UNMIK** (United Nations Interim Administration Mission in Kosovo) to administer Kosovo, including oversight of state-owned enterprises like Pristina International Airport.

- **UNMIK**:
  - Regulates operations through specific regulations (e.g., UNMIK Regulation 1999/24) that govern conduct and operations in Kosovo.
  - Collaborates with the **Pillar IV** organization, which includes military components like **KFOR** (Kosovo Force) for operational support.

-",POSITIVE,31.pdf
UNMIK,Kosovo Force,"**Structural Changes**: It notes changes in management and governance responsibilities, particularly the shift within UNMIK regarding the airport's administration following the departure of key officials.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**:
  - Established the **UNMIK** (United Nations Interim Administration Mission in Kosovo) to administer Kosovo, including oversight of state-owned enterprises like Pristina International Airport.

- **UNMIK**:
  - Regulates operations through specific regulations (e.g., UNMIK Regulation 1999/24) that govern conduct and operations in Kosovo.
  - Collaborates with the **Pillar IV** organization, which includes military components like **KFOR** (Kosovo Force) for operational support.

-",POSITIVE,31.pdf
Kosovo Force,UNMIK Regulation,"**Structural Changes**: It notes changes in management and governance responsibilities, particularly the shift within UNMIK regarding the airport's administration following the departure of key officials.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**:
  - Established the **UNMIK** (United Nations Interim Administration Mission in Kosovo) to administer Kosovo, including oversight of state-owned enterprises like Pristina International Airport.

- **UNMIK**:
  - Regulates operations through specific regulations (e.g., UNMIK Regulation 1999/24) that govern conduct and operations in Kosovo.
  - Collaborates with the **Pillar IV** organization, which includes military components like **KFOR** (Kosovo Force) for operational support.

-",POSITIVE,31.pdf
UNMIK Regulation,UN,"**Structural Changes**: It notes changes in management and governance responsibilities, particularly the shift within UNMIK regarding the airport's administration following the departure of key officials.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**:
  - Established the **UNMIK** (United Nations Interim Administration Mission in Kosovo) to administer Kosovo, including oversight of state-owned enterprises like Pristina International Airport.

- **UNMIK**:
  - Regulates operations through specific regulations (e.g., UNMIK Regulation 1999/24) that govern conduct and operations in Kosovo.
  - Collaborates with the **Pillar IV** organization, which includes military components like **KFOR** (Kosovo Force) for operational support.

-",POSITIVE,31.pdf
the Pristina International Airport,the Transport Sector of the UNMIK Directorate of Infrastructure Affairs,"- **Department of Transport and Infrastructure (DOTI)**:
  - A division initially supervising the Pristina International Airport under UNMIK that later transformed into the Transport Sector of the UNMIK Directorate of Infrastructure Affairs, denoting organizational restructuring.

",NEGATIVE,31.pdf
the Transport Sector of the UNMIK Directorate of Infrastructure Affairs,Department of Transport and Infrastructure (DOTI,"- **Department of Transport and Infrastructure (DOTI)**:
  - A division initially supervising the Pristina International Airport under UNMIK that later transformed into the Transport Sector of the UNMIK Directorate of Infrastructure Affairs, denoting organizational restructuring.

",NEGATIVE,31.pdf
Department of Transport and Infrastructure (DOTI,UNMIK,"- **Department of Transport and Infrastructure (DOTI)**:
  - A division initially supervising the Pristina International Airport under UNMIK that later transformed into the Transport Sector of the UNMIK Directorate of Infrastructure Affairs, denoting organizational restructuring.

",NEGATIVE,31.pdf
the Economic Commission for Africa,ECA,"**Investigation Trigger**: The Office of Internal Oversight Services (OIOS) investigated allegations of wrongdoing related to the Economic Commission for Africa (ECA) after emails were sent by a staff member to external parties, including U.S. government officials.

",NEGATIVE,24.pdf
ECA,The Office of Internal Oversight Services,"**Investigation Trigger**: The Office of Internal Oversight Services (OIOS) investigated allegations of wrongdoing related to the Economic Commission for Africa (ECA) after emails were sent by a staff member to external parties, including U.S. government officials.

",NEGATIVE,24.pdf
The Office of Internal Oversight Services,OIOS,"**Investigation Trigger**: The Office of Internal Oversight Services (OIOS) investigated allegations of wrongdoing related to the Economic Commission for Africa (ECA) after emails were sent by a staff member to external parties, including U.S. government officials.

",NEGATIVE,24.pdf
UN,ECA,"**United Nations (UN)**:
   - The UN is the overarching organization governing the rules and regulations that staff members, including those at the ECA, must follow.
   -",POSITIVE,24.pdf
UN,OIOS,"The OIOS operates under the mandate of the UN to conduct investigations.

",NEUTRAL,24.pdf
UN,ECA,"2. **Economic Commission for Africa (ECA)**:
   - The ECA is a regional organization under the UN umbrella implicated in the investigation concerning alleged misconduct by its senior officials.

",NEGATIVE,24.pdf
U.S. Government,ECA,"3. **U.S. Government Officials**:
   - Specific entities within the U.S. government, such as Ambassador John Negroponte and U.S. Senators John Kerry and Dodd, were recipients of the emails, indicating a direct line of communication from an ECA staff member to external government organizations.

",NEGATIVE,24.pdf
UN,OIOS,"**Office of Internal Oversight Services (OIOS)**:
   - The OIOS is the investigative body within the UN responsible for examining the allegations brought forth related to internal misconduct and regulation breaches.

",NEUTRAL,24.pdf
UN,ECA,"These relationships illustrate the interconnectedness of the UN, particularly the ECA, with external governmental bodies and the internal oversight mechanisms established to maintain organizational integrity.",POSITIVE,24.pdf
the Economic Commission for Africa,ECA,"the Economic Commission for Africa (ECA).

",POSITIVE,26.pdf
an Economic Commission of Africa,ECA,"A complaint was received alleging the misappropriation of US$12,000 in Daily Subsistence Allowance (DSA) by an Economic Commission of Africa (ECA) staff member.
",NEGATIVE,26.pdf
UN,ECA,"The ECA is the primary organization involved in the allegation of fund misappropriation, with its staff member accused of not following financial protocols as outlined by the ID/OIOS, which is responsible for oversight and investigation within the UN system.",NEGATIVE,26.pdf
the Investigations Division of the Office of Internal Oversight Services,the United Nations Environment Programme,"*Introduction of Allegations**:
   - Allegations of misconduct in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment Programme (UNEP) were reported to the Investigations Division of the Office of Internal Oversight Services (ID/OIOS).

",NEGATIVE,27.pdf
the United Nations Environment Programme,the Post-Conflict Assessment Unit,"*Introduction of Allegations**:
   - Allegations of misconduct in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment Programme (UNEP) were reported to the Investigations Division of the Office of Internal Oversight Services (ID/OIOS).

",NEGATIVE,27.pdf
the Post-Conflict Assessment Unit,UNEP,"*Introduction of Allegations**:
   - Allegations of misconduct in the Post-Conflict Assessment Unit (PCAU) of the United Nations Environment Programme (UNEP) were reported to the Investigations Division of the Office of Internal Oversight Services (ID/OIOS).

",NEGATIVE,27.pdf
United Nations,UNEP,"*Details on Allegations**:
   - Allegation 1: No established conflict of interest despite appearances.
   - Allegation 2: Evidence did not support the allegation against UNEP Staff Member 1.
   - Allegation 3: High-level contracts justified by performance, but qualifications were lacking.
   - Allegation 4: Substantiated, with an admission of breach of United Nations rules.

",NEGATIVE,27.pdf
the Office of Internal Oversight Services,the United Nations Environment Programme,"**United Nations**:
   - Parent organization of the United Nations Environment Programme (UNEP) and the Office of Internal Oversight Services (ID/OIOS).

",POSITIVE,27.pdf
the United Nations Environment Programme,UNEP,"**United Nations**:
   - Parent organization of the United Nations Environment Programme (UNEP) and the Office of Internal Oversight Services (ID/OIOS).

",POSITIVE,27.pdf
United Nations Environment Programme,PCAU,"2. **United Nations Environment Programme (UNEP)**:
   - The organization where the allegations of misconduct occurred, specifically in the PCAU and involving staff and consultants.

",NEGATIVE,27.pdf
PCAU,UNEP,"2. **United Nations Environment Programme (UNEP)**:
   - The organization where the allegations of misconduct occurred, specifically in the PCAU and involving staff and consultants.

",NEGATIVE,27.pdf
BTF,Balkans Task Force,"3. **Balkans Task Force (BTF)**:
   - A task force involved in the allegations, associated with UNEP and within the context of the reported misconduct.

",NEUTRAL,27.pdf
Balkans Task Force,UNEP,"3. **Balkans Task Force (BTF)**:
   - A task force involved in the allegations, associated with UNEP and within the context of the reported misconduct.

",NEUTRAL,27.pdf
the Investigations Division of the Office of Internal Oversight Services,UN,"**Request for Investigation**: On February 13, 2005, the Investigations Division of the Office of Internal Oversight Services (ID/OIOS) received a request to investigate allegations against locally recruited staff at the United Nations Office at Nairobi (UNON) for submitting fraudulent appointment letters to secure loans from the UN-SACCO.

",NEGATIVE,69.pdf
UN,the United Nations Office,"**Request for Investigation**: On February 13, 2005, the Investigations Division of the Office of Internal Oversight Services (ID/OIOS) received a request to investigate allegations against locally recruited staff at the United Nations Office at Nairobi (UNON) for submitting fraudulent appointment letters to secure loans from the UN-SACCO.

",NEGATIVE,69.pdf
United Nations,UNICEF/Somalia,"2. **Previous Reports**: Concerns stemmed from an earlier report concerning fraudulent loan practices by locally recruited staff members associated with UNICEF/Somalia, raising fears that similar actions might have infiltrated UNON and other United Nations agencies in Nairobi.

",NEGATIVE,69.pdf
United Nations,UN,"5. **UN-SACCO Overview**: UN-SACCO was established in 1975 to provide a savings and loan facility for United Nations staff in Kenya, operates with a capital of $13.5 million, and has around 2,500 members who can obtain loans based on their shares after a minimum membership period.

",NEGATIVE,69.pdf
Credit Committee,UN,"The approval process involves a review by UN-SACCO staff and a Credit Committee.

### Relationships Involving Entities of Type Organization:

1. **UNON and UN-SACCO**: 
   - UNON staff members submit loan applications to UN-SACCO.
   - UN-SACCO operates within UNON premises, indicating a close operational relationship.

",NEUTRAL,69.pdf
United Nations,UNON,"2. **UNICEF/Somalia and UNON**: 
   - Allegations from UNICEF/Somalia about fraudulent activities prompted investigations at UNON, suggesting a network among United Nations agencies regarding shared concerns about improper conduct.

",NEGATIVE,69.pdf
UNON,UNICEF/Somalia,"2. **UNICEF/Somalia and UNON**: 
   - Allegations from UNICEF/Somalia about fraudulent activities prompted investigations at UNON, suggesting a network among United Nations agencies regarding shared concerns about improper conduct.

",NEGATIVE,69.pdf
United Nations,UN,"4. **UN-SACCO and UN Staff**: 
   - UN-SACCO serves as a financial service provider to UN staff, facilitating loans and savings, establishing a foundational financial support organization for United Nations employees. 

",POSITIVE,69.pdf
UN Headquarters,the United Nations Office of Internal Oversight Services,"**Overview of the Report**: The article discusses a confidential report from the United Nations Office of Internal Oversight Services (OIOS) concerning Mr. Walter Cabrera, a procurement officer at UN Headquarters.

",POSITIVE,82.pdf
the Independent Inquiry Committee,The Procurement Task Force,"2. **Creation of the Procurement Task Force**: The Procurement Task Force was established on January 12, 2006, due to concerns raised by the Independent Inquiry Committee regarding procurement issues, specifically following the Oil for Food Programme scandal and issues surrounding another procurement officer, Alexander Yakovlev.

",NEGATIVE,82.pdf
The Procurement Task Force,the Oil for Food Programme,"2. **Creation of the Procurement Task Force**: The Procurement Task Force was established on January 12, 2006, due to concerns raised by the Independent Inquiry Committee regarding procurement issues, specifically following the Oil for Food Programme scandal and issues surrounding another procurement officer, Alexander Yakovlev.

",NEGATIVE,82.pdf
The Task Force,UN,"3. **Mandate and Operations of the Task Force**: The Task Force operates under OIOS, investigating all procurement-related matters involving UN staff and vendors.",POSITIVE,82.pdf
UN,OIOS,"3. **Mandate and Operations of the Task Force**: The Task Force operates under OIOS, investigating all procurement-related matters involving UN staff and vendors.",POSITIVE,82.pdf
the Procurement Task Force,UN,"**Focus of the Investigation**: The report specifically examines Cabrera's actions concerning the alleged misconduct, determining whether he acted improperly in his procurement duties.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**: The primary organization involved in the report, overseeing procurement operations and the investigation conducted by the OIOS.
  
- **Office of Internal Oversight Services (OIOS)**: A UN body focused on auditing and oversight, responsible for the establishment of the Procurement Task Force and the investigation of procurement matters.
 
-",POSITIVE,82.pdf
UN,OIOS,"**Focus of the Investigation**: The report specifically examines Cabrera's actions concerning the alleged misconduct, determining whether he acted improperly in his procurement duties.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**: The primary organization involved in the report, overseeing procurement operations and the investigation conducted by the OIOS.
  
- **Office of Internal Oversight Services (OIOS)**: A UN body focused on auditing and oversight, responsible for the establishment of the Procurement Task Force and the investigation of procurement matters.
 
-",POSITIVE,82.pdf
UN,OIOS,"**Procurement Task Force**: An internal body created by the UN under the OIOS to address procurement issues, including multiple procurement cases related to both individual staff members (like Cabrera) and external vendors.
  
",NEUTRAL,82.pdf
UNMIK,ITF,"**Investigation Task Force (ITF)**:
   - Tasked with the investigation following UNMIK's regulations, the ITF represents the operational arm within the UNMIK structure.


",POSITIVE,5.pdf
Direct Single Source Procurement,UN,"3. **Applicable Territorial Laws and UN Rules**: 
   - UNMIK Regulation 1999/24 establishes applicable laws in Kosovo.
   - UN Staff Regulations require high standards of efficiency and integrity.
   - UNMIK Finance Administrative Instructions emphasize fair and equal treatment in procurement processes and specify methods for procurement based on contract value.
   - Guidelines on Direct Single Source Procurement to prevent avoiding competition and discrimination.

### Relationships Involving Entities of Type Organization

- **United Nations (UN)**: The overarching organization responsible for the administration in Kosovo.",POSITIVE,4.pdf
UNMIK Regulation,UN,"It regulates processes and sets standards for conduct among its member entities.

- **United Nations Interim Administration Mission in Kosovo (UNMIK)**: Sub-organization under the UN that oversees the administrative functions in Kosovo, including public procurement.

- **Pristina International Airport**: The entity undergoing scrutiny due to alleged corruption and irregularities related to its procurement processes, which falls under UNMIK’s jurisdiction.

- **Special Representative of the Secretary General (SRSG)**: A role within UN that has regulatory authority established by UNMIK Regulation 1999/24.

",NEGATIVE,4.pdf
UN,UNMIK,"It regulates processes and sets standards for conduct among its member entities.

- **United Nations Interim Administration Mission in Kosovo (UNMIK)**: Sub-organization under the UN that oversees the administrative functions in Kosovo, including public procurement.

- **Pristina International Airport**: The entity undergoing scrutiny due to alleged corruption and irregularities related to its procurement processes, which falls under UNMIK’s jurisdiction.

- **Special Representative of the Secretary General (SRSG)**: A role within UN that has regulatory authority established by UNMIK Regulation 1999/24.

",NEGATIVE,4.pdf
OFF,the Iraq Survey Group,"2. **Ambassador's Frustration**: Levitte expressed frustration about a report from the Iraq Survey Group that indicated potential misuse of the OFF program by French companies, while no U.S. firms were mentioned.

",NEGATIVE,91.pdf
United Nations,UN,"4. **UN (United Nations)** - The UN Oil-for-Food program is central to the context, indicating the organization’s involvement in humanitarian efforts during the Iraq war and the implications of alleged misuse.

",POSITIVE,91.pdf
UNMIK Bank Account,the Public Enterprise Airport Pristina,"The Investigation Task Force (ITF) Kosovo investigated allegations concerning a specific UNMIK Bank Account following a forensic audit of the Public Enterprise Airport Pristina (PEAP).

",NEGATIVE,52.pdf
the Public Enterprise Airport Pristina,The Investigation Task Force,"The Investigation Task Force (ITF) Kosovo investigated allegations concerning a specific UNMIK Bank Account following a forensic audit of the Public Enterprise Airport Pristina (PEAP).

",NEGATIVE,52.pdf
The Kosovo Trust Agency,the European Union,"The Kosovo Trust Agency (KTA) and UNMIK Pillar IV, administered by the European Union, oversee the operations at Pristina Airport.",POSITIVE,52.pdf
the European Union,UNMIK Pillar IV,"The Kosovo Trust Agency (KTA) and UNMIK Pillar IV, administered by the European Union, oversee the operations at Pristina Airport.",POSITIVE,52.pdf
UNMIK,ITF,"The ITF's purview includes investigating fraud and corruption allegations involving UNMIK and associated organizations.

",POSITIVE,52.pdf
United Nations Security Council,UN,"**United Nations (UN):** 
   - Has oversight and administrative authority through the UNMIK, which regulates activities in Kosovo according to relevant United Nations Security Council resolutions.

",POSITIVE,52.pdf
UN,UNMIK,"**United Nations (UN):** 
   - Has oversight and administrative authority through the UNMIK, which regulates activities in Kosovo according to relevant United Nations Security Council resolutions.

",POSITIVE,52.pdf
United Nations Interim Administration Mission,UNMIK,"2. **United Nations Interim Administration Mission in Kosovo (UNMIK):**
   - Involved in the management of the bank account and oversight of financial transactions related to the airport.

",NEUTRAL,52.pdf
EU,European Union,"**European Union (EU):**
   - Administers UNMIK Pillar IV, reflecting a relationship where the EU provides governance and support to UNMIK's efforts in Kosovo.

",POSITIVE,52.pdf
European Union,UNMIK,"**European Union (EU):**
   - Administers UNMIK Pillar IV, reflecting a relationship where the EU provides governance and support to UNMIK's efforts in Kosovo.

",POSITIVE,52.pdf
United Nations Interim Administration Mission,ITF,"1. **United Nations Interim Administration Mission in Kosovo (UNMIK)**: Interacts with multiple organizations such as the ITF and CIVPOL and oversees immigration procedures for the airline operations.

",POSITIVE,47.pdf
Kosovo Organised Crime Bureau,KOCB,**Kosovo Organised Crime Bureau (KOCB),NEUTRAL,1.pdf
the Kosovo Trust Agency,the United Nations Interim Administration Mission,"1. **Background and Context**: The article discusses a case involving the United Nations Interim Administration Mission in Kosovo (UNMIK) and the Kosovo Trust Agency (KTA) regarding an X-ray equipment tender for Pristina Airport.

",POSITIVE,45.pdf
the United Nations Interim Administration Mission,UNMIK,"1. **Background and Context**: The article discusses a case involving the United Nations Interim Administration Mission in Kosovo (UNMIK) and the Kosovo Trust Agency (KTA) regarding an X-ray equipment tender for Pristina Airport.

",POSITIVE,45.pdf
Capital Expenditure,KTA,"2. **Allegation of Administrative Irregularity**: It highlights an allegation that the Divisional Manager of KTA signed a contract with a vendor for X-ray equipment before the formal approval for Capital Expenditure was granted by KTA.

",NEGATIVE,45.pdf
KTA,Divisional,"2. **Allegation of Administrative Irregularity**: It highlights an allegation that the Divisional Manager of KTA signed a contract with a vendor for X-ray equipment before the formal approval for Capital Expenditure was granted by KTA.

",NEGATIVE,45.pdf
KTA,Capital Expenditure,"6. **Conclusion**: It was concluded that the signing of the contract before the Capital Expenditure approval was a minor administrative irregularity, with no financial loss to Pristina Airport or KTA detected.

",POSITIVE,45.pdf
UN,UNMIK,"Entities of type Organization involved in the article and their relationships include:

- **United Nations (UN)**: Oversees the UNMIK mission in Kosovo for administration and governance.
- **UNMIK (United Nations Interim Administration Mission in Kosovo)",POSITIVE,45.pdf
UNMIK,United Nations Interim Administration Mission,"Entities of type Organization involved in the article and their relationships include:

- **United Nations (UN)**: Oversees the UNMIK mission in Kosovo for administration and governance.
- **UNMIK (United Nations Interim Administration Mission in Kosovo)",POSITIVE,45.pdf
UN,UNMIK,"**Relationships**:
1. UN oversees and administers the operations of UNMIK.
",NEUTRAL,45.pdf
UNMIK,KTA,"KTA operates under the authority of UNMIK and is responsible for procurement.
",NEGATIVE,45.pdf
Vendor,KTA,"Pristina Airport negotiated and concluded contracts with the Vendor under KTA's oversight.
",NEUTRAL,45.pdf
the Cargo Department,The Investigation Task Force,"**Allegation Summary**: The Investigation Task Force (ITF) received a report of fraud involving the Cargo Department at Pristina Airport, where an official improperly sought and received €8,000 for importation and storage of goods that was not recorded.

",NEGATIVE,51.pdf
UNMIK,the Department of Justice,"**Investigation Findings**: Preliminary investigation suggested prima facie evidence of a crime, leading to the case being referred to the Department of Justice, UNMIK.

",NEGATIVE,51.pdf
UN,United Nations Interim Administration Mission,**United Nations (UN)** and **UNMIK (United Nations Interim Administration Mission in Kosovo),NEUTRAL,51.pdf
the United Nations,UNMIK,"**:
   - UNMIK operates under the auspices of the United Nations, indicating a relationship where UNMIK conducts tasks related to the administration of Kosovo as mandated by the UN.

",POSITIVE,51.pdf
UNMIK,UN,"**:
   - UNMIK operates under the auspices of the United Nations, indicating a relationship where UNMIK conducts tasks related to the administration of Kosovo as mandated by the UN.

",POSITIVE,51.pdf
UNMIK’s,Airport Pristina,"**Airport Pristina** (Kosovo Publicly Owned Enterprise):
   - Involved parties communicate in the context of UNMIK’s judicial authority and oversight, highlighting a relationship where Airport Pristina is under investigation by UNMIK officials for procedural and financial discrepancies.

",POSITIVE,51.pdf
Airport Pristina,UNMIK,"**Airport Pristina** (Kosovo Publicly Owned Enterprise):
   - Involved parties communicate in the context of UNMIK’s judicial authority and oversight, highlighting a relationship where Airport Pristina is under investigation by UNMIK officials for procedural and financial discrepancies.

",POSITIVE,51.pdf
Air Traffic Control Services,The Investigation Task Force,**Investigation Overview**: The Investigation Task Force (ITF) Kosovo investigated frequent cash withdrawals from the bank account of Air Traffic Control Services (ATCS) associated with Prishtina International Airport.,NEGATIVE,2.pdf
United Nations Interim Administration Mission,UNMIK,2. **Background Context**: The activities of Prishtina Airport fall under the Kosovo Trust Agency's control and UNMIK (United Nations Interim Administration Mission in Kosovo),NEGATIVE,2.pdf
UNMIK,the Kosovo Trust Agency's,2. **Background Context**: The activities of Prishtina Airport fall under the Kosovo Trust Agency's control and UNMIK (United Nations Interim Administration Mission in Kosovo),NEGATIVE,2.pdf
Pillar,the European Union,"Pillar IV, which is administered by the European Union.

",POSITIVE,2.pdf
PISG,the Provisional Institutions of Self-Government,"3. **Scope of Investigation**: The ITF has the authority to investigate allegations of fraud and corruption involving UNMIK, its pillars, and other related organizational structures, including the Provisional Institutions of Self-Government (PISG).

",POSITIVE,2.pdf
the Provisional Institutions of Self-Government,UNMIK,"3. **Scope of Investigation**: The ITF has the authority to investigate allegations of fraud and corruption involving UNMIK, its pillars, and other related organizational structures, including the Provisional Institutions of Self-Government (PISG).

",POSITIVE,2.pdf
UNMIK,ITF,"3. **Scope of Investigation**: The ITF has the authority to investigate allegations of fraud and corruption involving UNMIK, its pillars, and other related organizational structures, including the Provisional Institutions of Self-Government (PISG).

",POSITIVE,2.pdf
Investigation Task Force,UNMIK,"**United Nations**: Plays a central role in overseeing Kosovo through UNMIK, which includes the ITF and its Investigation Task Force into financial irregularities.

",POSITIVE,2.pdf
UNMIK,ITF,"**United Nations**: Plays a central role in overseeing Kosovo through UNMIK, which includes the ITF and its Investigation Task Force into financial irregularities.

",POSITIVE,2.pdf
ATCS,the Prishtina International Airport,"2. **European Union**: Administers and oversees aspects of UNMIK Pillar IV, which relates to the administration of the Prishtina International Airport and oversight of relevant agencies such as ATCS.

",POSITIVE,2.pdf
the Prishtina International Airport,UNMIK Pillar IV,"2. **European Union**: Administers and oversees aspects of UNMIK Pillar IV, which relates to the administration of the Prishtina International Airport and oversight of relevant agencies such as ATCS.

",POSITIVE,2.pdf
Kosovo Trust Agency,UNMIK,"3. **Kosovo Trust Agency (KTA)**: Responsible for managing the airport operations and finances in Kosovo, under the broader purview of UNMIK.

",POSITIVE,2.pdf
the United Nations,European Union,"In summary, the relationships among these organizations depict a layered governance structure in Kosovo, with the United Nations at the helm, supported by European Union oversight and the involvement of local institutions managing the operational and financial aspects of the Prishtina International Airport.",POSITIVE,2.pdf
European Union,the Prishtina International Airport,"In summary, the relationships among these organizations depict a layered governance structure in Kosovo, with the United Nations at the helm, supported by European Union oversight and the involvement of local institutions managing the operational and financial aspects of the Prishtina International Airport.",POSITIVE,2.pdf
PEAP,the Airport Engineer,"5. **Contradictory Statements**: Interviews with different parties involved, including a PEAP official and the Airport Engineer, revealed conflicting statements regarding their involvement and knowledge of the procurement process.

",NEGATIVE,44.pdf
