source,target,sentence,document
Kosovo,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the procurement for the extension  of the  
Cargo Apron at Pristina Airport  (Case 0282/04) 
 
 
I. INTRODUCTION 
 
1.",10.pdf
Kosovo,"Investigation Task Force 
 
 
Irregularities","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the procurement for the extension  of the  
Cargo Apron at Pristina Airport  (Case 0282/04) 
 
 
I. INTRODUCTION 
 
1.",10.pdf
"Investigation Task Force 
 
 
Irregularities","I. INTRODUCTION 
 
","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Irregularities in the procurement for the extension  of the  
Cargo Apron at Pristina Airport  (Case 0282/04) 
 
 
I. INTRODUCTION 
 
1.",10.pdf
February 2003,"the Chartered 
Accountants","This case arises out of an audit report dated 28  February 2003 into the financial 
statements of Pristina International Airport conduc ted by the Chartered 
Accountants, which led to an investigation concerni ng alleged corruption and 
irregularities arising in the course of procurement s and contracts at Pristina 
International Airport. 
 
",10.pdf
12 December 1999,Kosovo,"II. APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS 
PROCEDURAL RULES 
 
Section 1 of UNMIK Regulation 1999/24  dated 12 December 1999 as amended, 
states that the law applicable in Kosovo shall be: 
a)",10.pdf
Kosovo,22 March 1989,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates, “Staff members shall uphold the highes t 
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
 ",10.pdf
22 March 1989,UN,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates, “Staff members shall uphold the highes t 
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
 ",10.pdf
UN,Kosovo Consolidated Budget Funds,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates, “Staff members shall uphold the highes t 
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
 ",10.pdf
the UNMIK Kosovo Interim Administration’s,Tender Documents,"– “If a consultant or any principal, officer or e mployee of such 
consultant has participated or will participate in any manner in the preparation of 
the UNMIK Kosovo Interim Administration’s Tendering  for a contract, including 
but not limited to preparations of specifications o r any other Tender Documents, 
no such consultant nor any principal officer or emp loyee of such consultant, no 
“related person” nor any “illegal payer” may tender  for or sponsor or participate in 
the Tendering for such contract.” 
",10.pdf
2001,2003,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",10.pdf
2003,"the 
Public Enterprise Airport Pristina","During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",10.pdf
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",10.pdf
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",10.pdf
Council,10 June 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",10.pdf
10 June 1999,UNMIK Regulation No 1/,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",10.pdf
UNMIK Regulation No 1/,1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",10.pdf
1999,25 July 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",10.pdf
UNMIK,Ko,"UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",10.pdf
the end of June 2002,the Civil Administration,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",10.pdf
the Civil Administration,UNMIK,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",10.pdf
DOTI,Transport and Infrastructure,"Pillar II supe rvised DOTI Official 1 (Department 
of Transport and Infrastructure).",10.pdf
DOTI,31 July 2000,"DOTI Official 2 was recruited by the DOTI as an 
international staff member on 31 July 2000 in charg e of airport operations, 
 3 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",10.pdf
31 July 2000,30 September 2001,"DOTI Official 2 was recruited by the DOTI as an 
international staff member on 31 July 2000 in charg e of airport operations, 
 3 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",10.pdf
United Nations,Airport Engineer 1,"Engineering expertise was provided by a series of e ngineers seconded from the 
armed forces of a United Nations member state, spec ifically Airport Engineer 1, 
Airport Engineer 2, and Airport Engineer 3, and lat er by a consultant from the 
Consulting Company. 
 
",10.pdf
Airport Engineer 1,Consulting Company,"Engineering expertise was provided by a series of e ngineers seconded from the 
armed forces of a United Nations member state, spec ifically Airport Engineer 1, 
Airport Engineer 2, and Airport Engineer 3, and lat er by a consultant from the 
Consulting Company. 
 
",10.pdf
1 July 2002,the Kosovo Trust Agency,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",10.pdf
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",10.pdf
1 April 2004,KFOR,"On 1 April 2004 Pristina International Airport, which had until that time been 
under the jurisdiction of KFOR was handed over to c ivilian jurisdiction, under 
ICAO regulations. 
 
",10.pdf
Public Procurement,Kosovo,"A dministrative Instruction 1999/2 
on Public Procurement using Kosovo Consolidated Bud get Funds, as they were 
based on summary documents and did not include clea r instructions on drawings 
and plans.) 
 
",10.pdf
the Project Engineer,the Evaluat ion Company,"A note from the Project Engineer at the Evaluat ion Company to the PEAP 
Official, dated 31 January 2001, indicates that the  Evaluation Company was 
commissioned to produce a preliminary design for th e Cargo Terminal at Pristina 
Airport.",10.pdf
the Evaluat ion Company,31 January 2001,"A note from the Project Engineer at the Evaluat ion Company to the PEAP 
Official, dated 31 January 2001, indicates that the  Evaluation Company was 
commissioned to produce a preliminary design for th e Cargo Terminal at Pristina 
Airport.",10.pdf
31 January 2001,the  Evaluation Company,"A note from the Project Engineer at the Evaluat ion Company to the PEAP 
Official, dated 31 January 2001, indicates that the  Evaluation Company was 
commissioned to produce a preliminary design for th e Cargo Terminal at Pristina 
Airport.",10.pdf
May 2001,the Cargo Apron Extension,"A letter from the Vendor to UNMIK and PEAP date d 9 May 2001 indicates that it 
submitted a bid for the Cargo Apron Extension.",10.pdf
DOTI,"18 May 
2001","An interoffice memorandum providing an “outstan ding issues update to Official 
2”, from DOTI Official 3 to Staff member 1 at the o ffice of Official 2 dated 18 May 
2001, could give rise to the suggestion that offers  were provided by companies 
on 28 May 2001, and the Vendor had been chosen for the works in advance. 
",10.pdf
"18 May 
2001",28 May 2001,"An interoffice memorandum providing an “outstan ding issues update to Official 
2”, from DOTI Official 3 to Staff member 1 at the o ffice of Official 2 dated 18 May 
2001, could give rise to the suggestion that offers  were provided by companies 
on 28 May 2001, and the Vendor had been chosen for the works in advance. 
",10.pdf
28 May 2001,Vendor,"An interoffice memorandum providing an “outstan ding issues update to Official 
2”, from DOTI Official 3 to Staff member 1 at the o ffice of Official 2 dated 18 May 
2001, could give rise to the suggestion that offers  were provided by companies 
on 28 May 2001, and the Vendor had been chosen for the works in advance. 
",10.pdf
the Cargo Apron Extension,"2 August 
2001","At paragraph 4 of the Cargo Apron Extension eva luation report dated 2 August 
2001, the committee notes that the bidding document s did not include clear 
instructions on drawing and plans.",10.pdf
Public Procurement,Kosovo,"In combination, the two documents suggest that the tender documents did not 
comply with Article 23.3 of the UNMIK Finance Admin istrative Instruction 1999/2 
on Public Procurement using Kosovo Consolidated Bud get Funds. 
 
",10.pdf
UNMIK Fi,Public Procurement,"When asked whether he/she was of the view that the tender documents complied 
with the provisions of Article 23.3 of the UNMIK Fi nance Administrative 
Instruction 1999/2 on Public Procurement using Koso vo Consolidated Budget 
Funds, DOTI Official 2 conceded that if an engineer  was asked this question, 
he/she would indicate that the tender specification s were technically deficient and 
did not comply with Article 23.3. 
 
",10.pdf
Public Procurement,"Consolidated Budget 
Funds","When asked whether he/she was of the view that the tender documents complied 
with the provisions of Article 23.3 of the UNMIK Fi nance Administrative 
Instruction 1999/2 on Public Procurement using Koso vo Consolidated Budget 
Funds, DOTI Official 2 conceded that if an engineer  was asked this question, 
he/she would indicate that the tender specification s were technically deficient and 
did not comply with Article 23.3. 
 
",10.pdf
Airport Engineer 1,ed,"Airport Engineer 1 had also express ed concern at the method 
used for preparing the tender documents, as from an  engineering point of view 
the tenders did not contain sufficient detail.",10.pdf
CPE,the Procurement Official,"Assistance from the CPE was provided primarily by a CPE Procurement Officer, 
and to a lesser extent by the Procurement Official,  as to the procurement 
documents and rules.",10.pdf
Allegations 2 &,the Cargo Apron Extension,"Allegations 2 & 3 
 
(Specifically, three of the persons on the bid open ing committee and evaluation 
committees were the same parties who should not hav e carried out both tasks.) 
 
and  
 
(The contract for the Cargo Apron Extension was not  channelled through the Office 
of the Legal Adviser.)  
 
 
21.",10.pdf
the Cargo Apron Extension,21,"Allegations 2 & 3 
 
(Specifically, three of the persons on the bid open ing committee and evaluation 
committees were the same parties who should not hav e carried out both tasks.) 
 
and  
 
(The contract for the Cargo Apron Extension was not  channelled through the Office 
of the Legal Adviser.)  
 
 
21.",10.pdf
24 September  2001,the Cargo Apron Extension,"An interoffice memorandum dated 24 September  2001 indicates that the 
contract for the Cargo Apron Extension had not been  channelled through the 
Office of the Legal Adviser.  
 
",10.pdf
the Cargo Apron Extension,"the 
Office of the Legal Adviser","An interoffice memorandum dated 24 September  2001 indicates that the 
contract for the Cargo Apron Extension had not been  channelled through the 
Office of the Legal Adviser.  
 
",10.pdf
"Allegation 4 
 
(Specifically",the Cargo Apron,"Allegation 4 
 
(Specifically, that the Vendor produced its own tes t results to confirm the quality of its 
own work on the Cargo Apron, resulting in a conflic t of interest.) 
 
23.",10.pdf
UNMIK,27 June 2001,"In addition, a letter from 
the Vendor to UNMIK and PEAP dated 27 June 2001, bu t apparently not 
received at UNMIK and PEAP until 17 October 2001, a ccording to a manuscript 
note signed by Airport Engineer 1 at the bottom of the letter, suggests that it 
carried out its own soil tests.  
 
",10.pdf
27 June 2001,UNMIK,"In addition, a letter from 
the Vendor to UNMIK and PEAP dated 27 June 2001, bu t apparently not 
received at UNMIK and PEAP until 17 October 2001, a ccording to a manuscript 
note signed by Airport Engineer 1 at the bottom of the letter, suggests that it 
carried out its own soil tests.  
 
",10.pdf
UNMIK,17 October 2001,"In addition, a letter from 
the Vendor to UNMIK and PEAP dated 27 June 2001, bu t apparently not 
received at UNMIK and PEAP until 17 October 2001, a ccording to a manuscript 
note signed by Airport Engineer 1 at the bottom of the letter, suggests that it 
carried out its own soil tests.  
 
",10.pdf
17 October 2001,Airport Engineer 1,"In addition, a letter from 
the Vendor to UNMIK and PEAP dated 27 June 2001, bu t apparently not 
received at UNMIK and PEAP until 17 October 2001, a ccording to a manuscript 
note signed by Airport Engineer 1 at the bottom of the letter, suggests that it 
carried out its own soil tests.  
 
",10.pdf
Septe,2003,"A letter from the Vendor to PEAP dated 18 Septe mber 2003 suggests that the 
Vendor also produced its own bearing capacity repor t for the Cargo Apron, 
thereby “self certifying” its own work.",10.pdf
2003,the Cargo Apron,"A letter from the Vendor to PEAP dated 18 Septe mber 2003 suggests that the 
Vendor also produced its own bearing capacity repor t for the Cargo Apron, 
thereby “self certifying” its own work.",10.pdf
ITF,Vendor,"The ITF notes that the PEAP Official indicated  that he/she was unhappy about 
the Vendor self-certifying its work and he/she comm ented that the airport 
engineer should have questioned it. 
 
",10.pdf
Divis,25 August 2002,"However, a letter from the Divis ional Manager to Staff 
Member 3 dated 25 August 2002 gives rise to the pos sibility that it was not up to 
specification in certain areas.  
 
",10.pdf
Public Procurement,"Consolidated Budget 
Funds","Evidence indicates that the tender documents fo r the cargo apron did not comply 
with the requirements of Article 23.4 of the UNMIK Finance Administrative 
Instruction 1999/2 on Public Procurement using Koso vo Consolidated Budget 
Funds, as they were based on summary documents and did not include clear 
instructions on drawings and plans.",10.pdf
UNMIK,the UNMIK Public Procurement Regula,"It is recommended that UNMIK ensure that staff understand and comply with the 
requirements of the UNMIK Public Procurement Regula tion No 2004/3. 
",10.pdf
DPKO,MONUC,"It is recommended that DPKO take appropriate ac tion with respect to DOTI 
Official 2 (currently serving with MONUC).",10.pdf
UNITED NATIONS,Kosovo,"UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",38.pdf
Kosovo,Intérimaire des Nations,"UNITED NATIONS  
United Nations Interim 
Administration Mission  
in Kosovo   
UNMIK NATIONS UNIES 
Mission d’Administration 
Intérimaire des Nations Unies 
au",38.pdf
Kosovo,"INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery","Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",38.pdf
"INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery",Favou,"Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",38.pdf
Favou,I. Background,"Kosovo  
 
INVESTIGATION TASK FORCE 
 
Investigation into Allegations of Bribery and Favou ritism in Procurement of Uniforms 
by Pristina Airport 
(ITF Case No. 0462/04) 
 
I. Background and Allegations 
 
1.",38.pdf
Kosovo Trust Agency,Internal Audit Unit,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",38.pdf
Internal Audit Unit,IAU,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",38.pdf
IAU,October 2004,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",38.pdf
October 2004,summer and winter,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",38.pdf
summer and winter,summer,"A Kosovo Trust Agency (KTA) Internal Audit Unit (IAU) Internal Memorandum dated 4 
October 2004, which described the audit of the proc urement of staff uniforms by Pristina 
Airport, raised concerns as to the reasoning for th e cancellation of a competitive tender 
for summer and winter uniforms (Pristina Airport Re ference No. PEAP/CG/UAS/19/05/04) 
and the subsequent issue of a single source contrac t for summer uniforms for new staff 
(Pristina Airport Reference No. SHKTA/CG/16-04). 
 
",38.pdf
IAU,Vendor,"In the IAU memo, reference is made to a letter o f complaint dated 28-06-04 from Vendor 
1, a company that competed for the tender and that was subsequently awarded the single 
source contract to supply summer uniforms.",38.pdf
Vendor,summer,"In the IAU memo, reference is made to a letter o f complaint dated 28-06-04 from Vendor 
1, a company that competed for the tender and that was subsequently awarded the single 
source contract to supply summer uniforms.",38.pdf
"the Bid Evaluation 
Committee",the Finance Department,"Vendor 1 Manager’s 
letter also identified his intention to seek legal action against Procurement Officer 1 for 
allegedly violating “the procurement rules” by:  re placing a member of the Bid Evaluation 
Committee in the competitive tender; allowing a mem ber of the Finance Department, the 
Finance Officer, to sit on the committee; and favou ring Vendor 2 in the tender process. 
 
",38.pdf
the Finance Department,favou,"Vendor 1 Manager’s 
letter also identified his intention to seek legal action against Procurement Officer 1 for 
allegedly violating “the procurement rules” by:  re placing a member of the Bid Evaluation 
Committee in the competitive tender; allowing a mem ber of the Finance Department, the 
Finance Officer, to sit on the committee; and favou ring Vendor 2 in the tender process. 
 
",38.pdf
favou,Vendor 2,"Vendor 1 Manager’s 
letter also identified his intention to seek legal action against Procurement Officer 1 for 
allegedly violating “the procurement rules” by:  re placing a member of the Bid Evaluation 
Committee in the competitive tender; allowing a mem ber of the Finance Department, the 
Finance Officer, to sit on the committee; and favou ring Vendor 2 in the tender process. 
 
",38.pdf
Procurem,ITF,"During the course of the investigation, Procurem ent Officer 1 told the ITF that, following 
the cancellation of the competitive tender, Vendor 1 Manager had made utterances to 
him/her that Procurement Officer 1 had interpreted as a threat. 
 
",38.pdf
the Finance Office,Vendor,"Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
Provisional Criminal Code of Kosovo – Article 343 “ Accepting Bribes”; Article 344 “Giving 
Bribes” 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.3.2 –“Avoidance of 
Conflicts of Interest and Corruption” 
 
Allegation 2 : that Procurement Officer 1 replaced a member of t",38.pdf
Vendor,"2 
 
Provisional Criminal Code of","Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
Provisional Criminal Code of Kosovo – Article 343 “ Accepting Bribes”; Article 344 “Giving 
Bribes” 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.3.2 –“Avoidance of 
Conflicts of Interest and Corruption” 
 
Allegation 2 : that Procurement Officer 1 replaced a member of t",38.pdf
"2 
 
Provisional Criminal Code of",Kosovo,"Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
Provisional Criminal Code of Kosovo – Article 343 “ Accepting Bribes”; Article 344 “Giving 
Bribes” 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.3.2 –“Avoidance of 
Conflicts of Interest and Corruption” 
 
Allegation 2 : that Procurement Officer 1 replaced a member of t",38.pdf
Kosovo,Revi,"Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
Provisional Criminal Code of Kosovo – Article 343 “ Accepting Bribes”; Article 344 “Giving 
Bribes” 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.3.2 –“Avoidance of 
Conflicts of Interest and Corruption” 
 
Allegation 2 : that Procurement Officer 1 replaced a member of t",38.pdf
Revi,15 December 1999,"Allegation 1 : that Procurement Officer 1 and the Finance Office r accepted bribes from Vendor 
2 
 
Provisional Criminal Code of Kosovo – Article 343 “ Accepting Bribes”; Article 344 “Giving 
Bribes” 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.3.2 –“Avoidance of 
Conflicts of Interest and Corruption” 
 
Allegation 2 : that Procurement Officer 1 replaced a member of t",38.pdf
Revi,15 December 1999,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
15 December 1999,"Tenders” 
 
Allegation 3 : that","he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
"Tenders” 
 
Allegation 3 : that",Revi,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
Revi,15 December 1999,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
15 December 1999,"Tenders” 
 
Allegation 4 :","he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
"Tenders” 
 
Allegation 4 :",Revi,"he Bid Evaluation Committee 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 3 : that Procurement Officer 1 inappropriately includ ed the Finance Officer in the Bid 
Evaluation Committee 
 
  2Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition”; Section 23.9 “Examination and Evaluat ion of Tenders” 
 
Allegation 4 : that Procurement Officer 1 favoured Vendor 2 in t he tender process 
 
Finance Administration Instruction No. 2/1999 (Revi sed 15 December 1999) – Public 
Procurement Using Kosovo Consolidated Budget Funds – Section 4.1 “Full and Fair 
Competition” 
 
Allegation 5 : that Vendor 1 Manager threatened Procurement Offi cer 1 
 
Provisional Criminal Code of Kosovo – Article 161 “ Threat” 
 
 
III.",38.pdf
