source,target,sentence,document,cleaned_source,cleaned_target
UNMIK Regulation No 1/,1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",9.pdf,unmik regulation no 1,1999
1999,25 July 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",9.pdf,1999,25 july 1999
1 July 2002,the Kosovo Trust Agency,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",9.pdf,1 july 2002,the kosovo trust agency
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",9.pdf,the kosovo trust agency,pillar
1 April 2004,KFOR,"On 1 April 2004 Pristina International Airport, which had until that time been 
under the jurisdiction of KFOR was handed over to c ivilian jurisdiction, under 
ICAO regulations. 
 
",9.pdf,1 april 2004,kfor
"24,762","4,100","The value of the contract is € 24,762 and the supplementary 
contract €4,100. 
 
",9.pdf,24762,4100
August 2002,29 August 200 2,"Evidence contained in a bid evaluation report d ated 29 August 2002 indicates 
that a competitive tender was held on 29 August 200 2 for the supply of two new 
containers and the dismantling, transport and re-co nstruction of a further seven 
containers at Pristina Airport.  
 
11.",9.pdf,august 2002,29 august 200 2
KFOR,"Air 
Movements","This appears to 
have resulted from a direct request from KFOR signe d by the KFOR Official of Air 
Movements, dated 3 September 2002, which is attache d to the justification for the 
single source contract.  
 
",9.pdf,kfor,air movements
"Air 
Movements",3 September 2002,"This appears to 
have resulted from a direct request from KFOR signe d by the KFOR Official of Air 
Movements, dated 3 September 2002, which is attache d to the justification for the 
single source contract.  
 
",9.pdf,air movements,3 september 2002
justi fication memorandum,ITF,"The tender file does not contain either a justi fication memorandum or financial 
approval documents for the main contract and those documents have not been 
locate by the ITF. 
 
",9.pdf,justi fication memorandum,itf
UNMIK,Pillar,"It is recommended that UNMIK refer this matter to the D/SRSG of Pillar IV for any 
action deemed appropriate with regard to the manage ment of contract files. 
",9.pdf,unmik,pillar
Kosovo,"Investigation Task Force 
 
 
 
Investigation","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
 
Investigation into allegations of irregularities in  two tender processes for the 
supply of cleaning machines to Pristina Airport.",8.pdf,republic of kosovo,investigation task force investigation
February 2003,"the Chartered 
Accountants","This case arises out of an audit report dated 28  February 2003 into the financial 
statements of Pristina International Airport conduc ted by the Chartered 
Accountants which led to an investigation concernin g alleged corruption and 
irregularities arising in the course of procurement s and contracts at Pristina 
International Airport. 
 
",8.pdf,february 2003,the chartered accountants
12 December 1999,Kosovo,"II. APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS 
PROCEDURAL RULES 
 
Section 1 of UNMIK Regulation 1999/24  dated 12 December 1999 as amended, 
states that the law applicable in Kosovo shall be: 
a)",8.pdf,12 december 1999,republic of kosovo
Kosovo,22 March 1989,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
UNMIK Finance Administrative Instruction 1999/2 on Public Procurement using 
Kosovo Consolidated Budget Funds  provides that: 
Article 4 1  – “Competition among and participation in the proc urement process 
shall be maximised.” 
",8.pdf,republic of kosovo,22 march 1989
the UNMIK Kosovo Interim Administration’s,Tender Documents,"– “If a consultant or any principal, officer or e mployee of such 
consultant has participated or will participate in any manner in the preparation of 
 2 
the UNMIK Kosovo Interim Administration’s Tendering  for a contract, including 
but not limited to preparations of specifications o r any other Tender Documents,  
 
no such consultant nor any principal officer or emp loyee of such consultant, no 
“related person” nor any “illegal payer” may tender  for or sponsor or participate in 
the Tendering for such contract.” 
",8.pdf,the unmik kosovo interim administrations,tender documents
2001,2003,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",8.pdf,2001,2003
2003,"the 
Public Enterprise Airport Pristina","During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",8.pdf,2003,the public enterprise airport pristina
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",8.pdf,the public enterprise airport pristina,kosovo force
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,united nations sec,council
Council,10 June 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,council,10 june 1999
10 June 1999,UNMIK Regulation No 1/,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,10 june 1999,unmik regulation no 1
UNMIK Regulation No 1/,1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,unmik regulation no 1,1999
1999,25 July 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999. 
",8.pdf,1999,25 july 1999
the end of June 2002,the Civil Administration,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",8.pdf,the end of june 2002,the civil administration
the Civil Administration,UNMIK,"Until the end of June 2002, responsibility for t he administration of the Pristina 
Airport was entrusted to the Civil Administration P illar (Pillar II) of UNMIK, 
including Official 1 and Official 2.",8.pdf,the civil administration,unmik
DOTI,31 July 2000,"DOTI Official 2 was recruited by the DOTI as an 
 3 
international staff member on 31 July 2000 in charg e of airport operations, 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",8.pdf,doti,31 july 2000
31 July 2000,30 September 2001,"DOTI Official 2 was recruited by the DOTI as an 
 3 
international staff member on 31 July 2000 in charg e of airport operations, 
reporting to DOTI Official 1, and continued in this  role until 30 September 2001. 
",8.pdf,31 july 2000,30 september 2001
Airport Engineer 1,Consulting Firm,"Engineering expertise was provided by a series of e ngineers seconded from the 
armed forces of a United Nations member state, spec ifically Airport Engineer 1, 
Airport Engineer 2 and Airport Engineer 3 and later  by the Consultant from the 
Consulting Firm. 
 
",8.pdf,airport engineer 1,consulting firm
1 July 2002,the Kosovo Trust Agency,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",8.pdf,1 july 2002,the kosovo trust agency
the Kosovo Trust Agency,Pillar,"On 1 July 2002, the responsibility for the admin istration of the Airport passed 
from Pillar II to the Kosovo Trust Agency (KTA) and  Pillar IV.",8.pdf,the kosovo trust agency,pillar
1 April 2004,KFOR,"On 1 April 2004 Pristina International Airport, which had until that time been 
under the jurisdiction of KFOR was handed over to c ivilian jurisdiction, under 
ICAO regulations. 
 
",8.pdf,1 april 2004,kfor
Procure,"18 April 
2003","A bid evaluation report drawn up by the Procure ment Officer, dated 18 April 
2003, identifies that bids were opened in an evalua tion process to select a 
company to supply cleaning machines to Pristina Air port on 18 April 2003. 
",8.pdf,procure,18 april 2003
"18 April 
2003",Pristina Air,"A bid evaluation report drawn up by the Procure ment Officer, dated 18 April 
2003, identifies that bids were opened in an evalua tion process to select a 
company to supply cleaning machines to Pristina Air port on 18 April 2003. 
",8.pdf,18 april 2003,pristina air
Pristina Air,18 April 2003,"A bid evaluation report drawn up by the Procure ment Officer, dated 18 April 
2003, identifies that bids were opened in an evalua tion process to select a 
company to supply cleaning machines to Pristina Air port on 18 April 2003. 
",8.pdf,pristina air,18 april 2003
Engineer,"the Evaluation 
Committee","The person responsible for drawing up the speci fications for the both tenders was 
the Engineer at the Pristina Airport, who confirmed  in interview that he/she had 
been asked to draw up the specifications by the Mem ber of the Evaluation 
Committee.",8.pdf,engineer,the evaluation committee
"the Evaluation 
Committee",ITF,"The Membe r of the Evaluation 
Committee confirmed to the ITF that he/she handed t he signed pages to the 
Engineer at the Pristina Airport to assist in the p reparation of the technical 
specifications for the cleaning machines.  
 
",8.pdf,the evaluation committee,itf
the Evaluation Committee,2/1999,"The Engineer at the Pristina Airport and the Me mber of the Evaluation Committee 
were asked in interview whether they were aware of the provision of Article 15 of 
Financial Administration Instruction No. 2/1999, an d in particular Articles 15.1 and 
15.4.  ",8.pdf,the evaluation committee,21999
2/1999,Articles 15.1,"The Engineer at the Pristina Airport and the Me mber of the Evaluation Committee 
were asked in interview whether they were aware of the provision of Article 15 of 
Financial Administration Instruction No. 2/1999, an d in particular Articles 15.1 and 
15.4.  ",8.pdf,21999,articles 151
9 July 2003,evaluati on committee,"This is 
confirmed in a memorandum from Procurement Officer 2 to the PEAP Official 
 5 
dated 9 July 2003, which identifies the evaluation committee members and in an 
ITF interview with Procurement Officer 2, the PEAP Official did not refer to 
Procurement Officer 2 or the second tender evaluati on committee in his/her 
interview. 
 
 
",8.pdf,9 july 2003,evaluati on committee
Vendor 2’s,Vendor 2,"An examination of the technical evaluation repo rt and Vendor 2’s bid 
documentation suggests that the specification produ ced by Vendor 2 was very 
similar to the specification requirement, although there is no evidence that it was 
provided with the technical specifications in advan ce.",8.pdf,vendor 2s,vendor 2
ITF,UNMIK,"Based on the above information, the ITF recomm ends that UNMIK refer this 
report to the D/SRSG Pillar IV for any action deeme d appropriate with regard to 
ensuring that staff involved in preparing tenders d",8.pdf,itf,unmik
UNMIK,the D/SRSG Pillar IV,"Based on the above information, the ITF recomm ends that UNMIK refer this 
report to the D/SRSG Pillar IV for any action deeme d appropriate with regard to 
ensuring that staff involved in preparing tenders d",8.pdf,unmik,the dsrsg pillar iv
28 February 2005,STRICTLY,"28 February 2005 
 
 
 
 STRICTLY CONFIDENTIAL  
 `   1 INVESTIGATION INTO ALLEGED IRREGULARITIES IN THE PR OCUREMENT OF 
PERSONAL DIGITAL ASSISTANTS  (Case 0374/04)  
 
 
I.     BACKGROUND 
 
1.",16.pdf,28 february 2005,strictly
STRICTLY,DIGITAL,"28 February 2005 
 
 
 
 STRICTLY CONFIDENTIAL  
 `   1 INVESTIGATION INTO ALLEGED IRREGULARITIES IN THE PR OCUREMENT OF 
PERSONAL DIGITAL ASSISTANTS  (Case 0374/04)  
 
 
I.     BACKGROUND 
 
1.",16.pdf,strictly,digital
The Investigations Division of the Office of Int ernal Oversight Services,April 2004,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,the investigations division of the office of int ernal oversight services,april 2004
April 2004,UNMIK’s Directorate of Rural Affairs,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,april 2004,unmiks directorate of rural affairs
UNMIK’s Directorate of Rural Affairs,DRA,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,unmiks directorate of rural affairs,dra
DRA,Kosovo,"The Investigations Division of the Office of Int ernal Oversight Services (ID/OIOS) 
received information relating to problems in a proc urement exercise for the purchase of Personal 
Digital Assistants (PDA) undertaken in April 2004 b y UNMIK’s Directorate of Rural Affairs 
(DRA), Kosovo.  ",16.pdf,dra,republic of kosovo
The Directorate of Rural Affairs,DRA,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,the directorate of rural affairs,dra
DRA,UNMIK Civil Administration,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,dra,unmik civil administration
UNMIK Civil Administration,October 2001,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,unmik civil administration,october 2001
October 2001,Department of Agriculture,"The Directorate of Rural Affairs (DRA) is locate d within UNMIK Civil Administration 
(Pillar II); it was formed in October 2001 out of t he former Department of Agriculture in the 
Joint Administrative Interim Structure.",16.pdf,october 2001,department of agriculture
DRA,Veterinary Services &,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,dra,veterinary services
Veterinary Services &,Border Control,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,veterinary services,border control
Border Control,Pu blic Forests,"The DRA com prises Veterinary Services & Veterinary 
Border Control, Phytosanitary Border Control and Pu blic Forests.  ",16.pdf,border control,pu blic forests
DRA,Security Council Resolution 1244,"The DRA remains a reserved 
area under Security Council Resolution 1244 and the  staff are United Nations staff members 
subject to the UN Rules and Regulations.",16.pdf,dra,security council resolution 1244
ID/OIOS Investigators,al l,"ID/OIOS Investigators conducted interviews of al l witnesses relevant to this matter, 
including detailed interviews of the alleged subjec ts; collected documents and records 
concerning the procurement, including all the bids submitted and the bid evaluation documents: 
and analyzed the evidence.    
 
",16.pdf,idoios investigators,al l
the European Agency,EAR,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,the european agency,ear
EAR,Kosovo,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,ear,republic of kosovo
Kosovo,SPUVESEK,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,republic of kosovo,spuvesek
SPUVESEK,Identification & Registration,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,spuvesek,identification registration
Identification & Registration,Kosovo,"The ID/OIOS investigation also reviewed the proj ect funded by the European Agency for 
Reconstruction (EAR) called “Strengthening of Publi c Veterinary Services in Kosovo” 
(SPUVESEK), which identified the need for Personal Digital Assistants (PDAs) to undertake the 
task of Identification & Registration (I & R) of an imals in Kosovo.",16.pdf,identification registration,republic of kosovo
late 2002,EAR,"In late 2002, the EAR consultant prepared the te chnical specifications for the PDAs based 
on the proposal in SPUVESEK’s inception report of A ugust 2002.",16.pdf,late 2002,ear
EAR,SPUVESEK,"In late 2002, the EAR consultant prepared the te chnical specifications for the PDAs based 
on the proposal in SPUVESEK’s inception report of A ugust 2002.",16.pdf,ear,spuvesek
DRA,November 2003,"Based on these specifications, 
the DRA launched an initial tender in November 2003  for the PDAs, inclusive of both hardware 
and software.  ",16.pdf,dra,november 2003
"170,000",February 2004,"All bids submitted exceeded the amou nt set aside for the purchase of the PDAs 
(€170,000), therefore that tender was cancelled in February 2004 based on advice from the 
Central Procurement Entity (CPE).    
 ",16.pdf,170000,february 2004
February 2004,Central Procurement Entity,"All bids submitted exceeded the amou nt set aside for the purchase of the PDAs 
(€170,000), therefore that tender was cancelled in February 2004 based on advice from the 
Central Procurement Entity (CPE).    
 ",16.pdf,february 2004,central procurement entity
DRA,"135,000","For the se cond tender, the DRA provided the bidders 
with a price ceiling of €135,000 and requested that  they state the number of devices in total that 
the company could offer within the price ceiling.",16.pdf,dra,135000
19 May 2004,DRA,"O n 19 May 2004, the deadline for the 
submission of bids, the DRA had received eight bids .",16.pdf,19 may 2004,dra
PRIO,EAR,"In the preliminary PRIO report, the price estima tes as stated in the EAR consultant’s 
inception report showed five different PDA models w ith integrated scanner capabilities.",16.pdf,prio,ear
EAR,PDA,"In the preliminary PRIO report, the price estima tes as stated in the EAR consultant’s 
inception report showed five different PDA models w ith integrated scanner capabilities.",16.pdf,ear,pda
PDA,USD $323,"The 
prices of the PDA models shown ranged from USD $323 .38 to USD $818.30.",16.pdf,pda,usd 323
USD $323,USD $818.30,"The 
prices of the PDA models shown ranged from USD $323 .38 to USD $818.30.",16.pdf,usd 323,usd 81830
DRA,Vendor 2,"ID/OIOS 
Investigators reviewed all eight bids submitted and  noted that DRA logistics officer 1 had 
disqualified two, Vendor 2 and Vendor 3, because ne ither the Vendor 2 nor the Vendor 3 bid was 
substantially responsive in that the total price of  the product offered exceeded the price ceiling of 
€135,000.",16.pdf,dra,vendor 2
Vendor 2,Vendor 3,"ID/OIOS 
Investigators reviewed all eight bids submitted and  noted that DRA logistics officer 1 had 
disqualified two, Vendor 2 and Vendor 3, because ne ither the Vendor 2 nor the Vendor 3 bid was 
substantially responsive in that the total price of  the product offered exceeded the price ceiling of 
€135,000.",16.pdf,vendor 2,vendor 3
Vendor 3,"135,000","ID/OIOS 
Investigators reviewed all eight bids submitted and  noted that DRA logistics officer 1 had 
disqualified two, Vendor 2 and Vendor 3, because ne ither the Vendor 2 nor the Vendor 3 bid was 
substantially responsive in that the total price of  the product offered exceeded the price ceiling of 
€135,000.",16.pdf,vendor 3,135000
Vendor 2,Kosovo,"During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,vendor 2,republic of kosovo
Kosovo,"135,000","During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,republic of kosovo,135000
"135,000","more than €17,000","During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,135000,more than 17000
"more than €17,000",Vendor 3’s,"During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,more than 17000,vendor 3s
Vendor 3’s,"yearly €16,500","During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,vendor 3s,yearly 16500
"yearly €16,500","more than €15,000","During his/her pre-qualification of bids,  DRA logistics officer 1 noted that Vendor 2 
did not include taxes “CIP” Pristina Kosovo as requ ired in the bid document, meaning the total 
price would exceed the ceiling of €135,000 by more than €17,000; and Vendor 3’s total offer did 
not include its  yearly €16,500 maintenance surcharge fee, causing its bid t o exceed the stated 
price ceiling by more than €15,000.    
 
",16.pdf,yearly 16500,more than 15000
Ven,Vendor 4,"In order to find out why the lowest bidder, Ven dor 1, was still not selected, ID/OIOS 
spoke separately with two members of the bid evalua tion panel who explained the evaluation 
process and why the panel recommended the selected bidder, Vendor 4.",16.pdf,ven,vendor 4
Kosovo,five working days,"DRA logistics officer 2  highlighted the criteria of after-warranty 
repair service located within Kosovo and repair or replacement within five working days 
(based on the existing regulations in Kosovo as to notification, registration and recording of 
information concerning movement of animals within f",16.pdf,republic of kosovo,five working days
five working days,Kosovo,"DRA logistics officer 2  highlighted the criteria of after-warranty 
repair service located within Kosovo and repair or replacement within five working days 
(based on the existing regulations in Kosovo as to notification, registration and recording of 
information concerning movement of animals within f",16.pdf,five working days,republic of kosovo
DRA,Vendor 4,"DRA logistics officer 2  pointed out that Vendor 4, Vendor 5 and 
Vendor 6 had offered virtually the same technical d evice.",16.pdf,dra,vendor 4
Gotive H41 IB,Vendor 4,"He/she found out that the 
“Gotive H41 IB” model offered by Vendor 6 did not s ubstantially differ from the 
“Gotive H41” model offered by Vendor 4 and Vendor 5 .",16.pdf,gotive h41 ib,vendor 4
DRA,the “Gotive H41,"DRA logistics officer 2  
stated that the “Gotive H41” model complied with al l the requirements laid out in 
the technical specifications and pointed out that t his device was very well protected 
against environmental impact, notably in the field.    
  
 
",16.pdf,dra,the gotive h41
the “Gotive H41,al l,"DRA logistics officer 2  
stated that the “Gotive H41” model complied with al l the requirements laid out in 
the technical specifications and pointed out that t his device was very well protected 
against environmental impact, notably in the field.    
  
 
",16.pdf,the gotive h41,al l
DRA,PDA,"According to DRA logistics officer 2 , the PDA model offered by Vendor 1 was not a 
rugged PDA; it did not comply with the IP54 protect ion standards essential for outdoor use.  
",16.pdf,dra,pda
PDA,Vendor 1,"According to DRA logistics officer 2 , the PDA model offered by Vendor 1 was not a 
rugged PDA; it did not comply with the IP54 protect ion standards essential for outdoor use.  
",16.pdf,pda,vendor 1
Howeve,KVS,"Howeve r, the product did not comply with the 
technical specifications and hence would be inappro priate for use by KVS veterinarians.",16.pdf,howeve,kvs
DRA,Section VI “Technical Spec,"However, the complainant contended that the PDA mod el offered by Vendor 1 did match 
the technical specifications sought by the DRA and referred ID/OIOS to “Vendor 1’s” 
handwritten responses to Section VI “Technical Spec ifications” of the Bidding documents.",16.pdf,dra,section vi technical spec
Section VI “Technical Spec,Bidding,"However, the complainant contended that the PDA mod el offered by Vendor 1 did match 
the technical specifications sought by the DRA and referred ID/OIOS to “Vendor 1’s” 
handwritten responses to Section VI “Technical Spec ifications” of the Bidding documents.",16.pdf,section vi technical spec,bidding
Section VI,DRA,"Investigators noted that the annex 
submitted by the complainant is different from the typed page of the Vendor 1 response to 
Section VI found in all three sets of bid documents  submitted to the DRA at the bid opening.  
",16.pdf,section vi,dra
DRA,19 May,"ID/OIOS learned that Vendor 1 did not retain a copy of the completed bid documents 
submitted to the DRA as they had only prepared thre e sets, all of which were submitted to the 
DRA on 19 May.",16.pdf,dra,19 may
Vendor 1,EIA,"ID/OIOS verified that the PDA model offer ed by Vendor 1 (EIA PD264-XB) does not 
 `   4 contain the IP54 feature that would ensure environm ental sealing against dust and rain.",16.pdf,vendor 1,eia
Vendor 4,PDA,"ID/OIOS also addressed the issue of why Vendor 4 was selected even though two other 
bidders offered the same model PDA at a lower price .",16.pdf,vendor 4,pda
Vendor 5,Kosovo,"In addition, neither Vendor 5 nor Vendor 6  offered servicing and repair of the PDAs in Kosovo  
and the required five days turnaround time to repla ce a faulty device.  ",16.pdf,vendor 5,republic of kosovo
Kosovo,five days,"In addition, neither Vendor 5 nor Vendor 6  offered servicing and repair of the PDAs in Kosovo  
and the required five days turnaround time to repla ce a faulty device.  ",16.pdf,republic of kosovo,five days
Vendor 4,DRA,"In the end, the evaluation panel members 
selected Vendor 4 over the two other short-listed b idders because that bid included training as 
part of the total package thereby offering the best  value within the stated price ceiling for 
DRA-KVS.       
 
 
",16.pdf,vendor 4,dra
DRA,Vendor,"ID/OIOS finds that the DRA finally procured P DAs from Vendor 4 based on the fact 
that the product offered was in compliance with the  technical specifications and met the 
requirements of the bid specifications.  ",16.pdf,dra,vendor
Vendor 4,Kosovo,"ID/OIOS also finds that the evaluation panel se lected Vendor 4 because it was the only 
bidder that complied with all technical specificati ons as well as the obligatory requirements in 
Section VII of the bid documents such as the 12 mon ths warranty for servicing and repair in 
Kosovo and the five days turnaround time.",16.pdf,vendor 4,republic of kosovo
Kosovo,the five days,"ID/OIOS also finds that the evaluation panel se lected Vendor 4 because it was the only 
bidder that complied with all technical specificati ons as well as the obligatory requirements in 
Section VII of the bid documents such as the 12 mon ths warranty for servicing and repair in 
Kosovo and the five days turnaround time.",16.pdf,republic of kosovo,the five days
UN Financial Rules,"UNMIK’s Finance 
Administrative","ID/OIOS determined that the procurement exercis e was conducted in accordance with the 
UN Financial Rules and Regulations governing procur ement and with UNMIK’s Finance 
Administrative Instruction 2/1999 on public procure ments using KCB funds. 
 
 
 ",16.pdf,un financial rules,unmiks finance administrative
"UNMIK’s Finance 
Administrative",KCB,"ID/OIOS determined that the procurement exercis e was conducted in accordance with the 
UN Financial Rules and Regulations governing procur ement and with UNMIK’s Finance 
Administrative Instruction 2/1999 on public procure ments using KCB funds. 
 
 
 ",16.pdf,unmiks finance administrative,kcb
UNMIK,DRA,"It is recommended that UNMIK take note of ID/OIOS ’ findings and 
conclusions and advise DRA staff members, DRA emplo yee 2 and DRA logistics officer 1 of the 
result of this investigation.  ",16.pdf,unmik,dra
Hebelievesthatthemid-DecemberEUSummitinBrusselswillimpactontheUNConference,positivesignalsandcontinuedleadershipfromtheEU,"Hebelievesthatthemid-DecemberEUSummitinBrusselswillimpactontheUNConference
onClimateChangeinPoznanaswellasthe2009CopenhagenTalks,stressingthatwithout
positivesignalsandcontinuedleadershipfromtheEU,itwouldbedifficultfortheUNtomakea
commitmentinPoznan.BanalsomaintainedthatsincethenewU.S.administrationwillhavea
veryengagingandproactiveattitudeontheissue,thetimeisrightfortheEUandthewhole
worldtocreateconditionsnecessaryforreachingameaningfuldealatthe2009UNClimate
Talks.",114.pdf,hebelievesthatthemid-decembereusummitinbrusselswillimpactontheunconference,positivesignalsandcontinuedleadershipfromtheeu
